@relation 'vote-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute adoption-of-the-budget-resolution {n,y}
@attribute physician-fee-freeze {n,y}
@attribute immigration {n,y}
@attribute synfuels-corporation-cutback {n,y}
@attribute Class {democrat,republican}

@data
y,y,n,y,democrat
n,n,n,y,democrat
y,n,n,y,democrat
y,n,n,y,democrat
y,y,n,n,democrat
y,n,?,y,democrat
n,n,n,y,democrat
n,n,n,y,democrat
n,y,n,y,republican
?,?,n,n,republican
?,?,n,y,democrat
y,?,n,y,democrat
y,n,n,y,democrat
n,n,n,y,democrat
y,n,n,n,democrat
n,y,y,n,republican
n,y,n,?,republican
n,y,y,y,republican
y,y,y,n,republican
n,y,y,n,republican
n,y,y,n,republican
n,y,n,n,republican
y,n,y,n,democrat
n,y,n,y,democrat
y,n,n,n,democrat
n,y,n,n,republican
n,y,n,y,republican
y,n,y,y,democrat
n,y,y,n,republican
y,y,y,?,republican
y,n,n,n,democrat
y,n,y,n,democrat
n,y,y,n,republican
y,n,y,y,democrat
y,n,y,n,democrat
y,n,n,n,democrat
y,y,y,n,republican
y,n,n,y,democrat
y,n,n,y,democrat
y,n,n,y,democrat
y,n,y,y,democrat
y,n,y,y,democrat
y,n,y,n,democrat
n,y,y,n,republican
?,n,y,n,democrat
y,n,y,n,democrat
y,y,y,n,republican
y,n,y,n,democrat
n,y,n,y,republican
n,y,?,n,republican
n,y,y,n,republican
